year,dau_code,dau_area,dau_cropland,dau_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
2018,002,1539.12173035,187.4951477050781,.12181957,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22322.63360595703,22314.63360595703,8,1,1,1,,,,
2019,002,1539.12173035,187.4951477050781,.12181957,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22322.63360595703,22314.63360595703,8,1,1,1,,,,
2020,002,1539.12173035,187.4951477050781,.12181957,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22322.63360595703,22314.63360595703,8,1,1,1,,,,
2021,002,1539.12173035,187.4951477050781,.12181957,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,22322.63360595703,22314.63360595703,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22322.63360595703,22314.63360595703,8,1,1,1,,,,
1993,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
1994,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
1995,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
1996,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
1997,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
1998,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
1999,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2000,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2001,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2002,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2003,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2004,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2005,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2006,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2007,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2008,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
2009,003,1711.06535311,113.4358825683594,.066295467,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,42624.19991277158,41996.29992483556,627.8999878913164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42624.19991277158,41996.29992483556,627.8999879360199,1,1,1,,,,
