year,huc8,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
2003,18020111,135153.0678102225,56617.85395459831,78535.21394491196,135153.0678102225,56617.85395459831,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,350.51123046875,350.51123046875,0,350.51123046875,350.51123046875,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2004,18020111,135233.8417665213,56698.62791089714,78535.21394491196,135233.8417665213,56698.62791089714,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,431.2851867675781,431.2851867675781,0,431.2851867675781,431.2851867675781,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2005,18020111,135167.1207887381,56631.90693311393,78535.21394491196,135167.1207887381,56631.90693311393,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,364.564208984375,364.564208984375,0,364.564208984375,364.564208984375,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2006,18020111,135133.5035707206,56598.28971509635,78535.21394491196,135133.5035707206,56598.28971509635,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,330.9469909667969,330.9469909667969,0,330.9469909667969,330.9469909667969,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2007,18020111,135098.5051576346,56563.29130201042,78535.21394491196,135098.5051576346,56563.29130201042,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,295.9485778808594,295.9485778808594,0,295.9485778808594,295.9485778808594,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2008,18020111,135062.5162660331,56527.30241040885,78535.21394491196,135062.5162660331,56527.30241040885,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,259.9596862792969,259.9596862792969,0,259.9596862792969,259.9596862792969,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.84746301,.79199952,.96348149,,,.67892748,.75
2009,18020111,135042.3386842459,56507.12482862175,78535.21394491196,135042.3386842459,56507.12482862175,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,239.7821044921875,239.7821044921875,0,239.7821044921875,239.7821044921875,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.9458034,.91987103,1,,,.87631178,1
2010,18020111,135011.811050579,56476.59719495475,78535.21394491196,135011.811050579,56476.59719495475,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,209.2544708251953,209.2544708251953,0,209.2544708251953,209.2544708251953,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2011,18020111,135002.5014497489,56467.28759412467,78535.21394491196,135002.5014497489,56467.28759412467,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,199.9448699951172,199.9448699951172,0,199.9448699951172,199.9448699951172,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2012,18020111,135080.2676393241,56545.05378369987,78535.21394491196,135080.2676393241,56545.05378369987,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,277.7110595703125,277.7110595703125,0,277.7110595703125,277.7110595703125,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2013,18020111,135139.0057374686,56603.7918818444,78535.21394491196,135139.0057374686,56603.7918818444,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,336.4491577148438,336.4491577148438,0,336.4491577148438,336.4491577148438,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.87907773,.83874142,.96348149,,,.75107896,.75
2014,18020111,135135.8116761893,56600.5978205651,78535.21394491196,135135.8116761893,56600.5978205651,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,333.2550964355469,333.2550964355469,0,333.2550964355469,333.2550964355469,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.71254563,.61000973,.92696297,,,.39800549,.5
